Trajectories
200
,,F1:LASI,,,F1:RASI,,,F1:LPSI,,,F1:RPSI,,,F1:LTHI,,,F1:LKNE,,,F1:LTIB,,,F1:LANK,,,F1:LHEE,,,F1:LTOE,,,F1:RTHI,,,F1:RKNE,,,F1:RTIB,,,F1:RANK,,,F1:RHEE,,,F1:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,455.057,3968.06,970.67,209.596,3975.17,966.806,372.193,4190.76,996.727,,,,,,,476.201,4075.06,499.892,491.095,4164.97,296.041,459.777,4126.96,72.2688,411.084,4169.78,51.9308,397.809,3957.69,36.1914,130.609,4066.66,762.446,174.378,4102.11,499,169.16,4158.58,369.737,192.723,4132.83,74.2413,249.719,4173.95,50.0932,219.726,3960.66,40.3525
2,0,455.111,3968.05,970.662,209.577,3975.19,966.818,372.211,4190.78,996.725,,,,,,,476.291,4075.08,499.85,491.226,4164.93,295.699,459.889,4127.09,72.4293,411.066,4169.79,51.9463,397.807,3957.69,36.1888,130.78,4066.6,762.462,174.343,4102.17,499.03,169.169,4158.57,369.749,192.73,4132.83,74.2354,249.722,4173.96,50.0902,219.718,3960.66,40.3476
3,0,455.112,3968.08,970.663,209.615,3975.2,966.821,372.224,4190.8,996.72,,,,,,,476.394,4075.19,499.923,491.371,4164.98,295.472,459.905,4127.09,72.4211,411.081,4169.78,51.9428,397.811,3957.7,36.1844,130.598,4066.7,762.46,174.513,4101.9,498.967,169.176,4158.56,369.74,192.742,4132.85,74.2738,249.732,4173.96,50.0906,219.713,3960.66,40.3448
4,0,455.122,3968.11,970.652,209.577,3975.22,966.835,372.237,4190.81,996.715,,,,,,,476.382,4075.14,499.817,491.371,4164.95,295.397,459.911,4127.09,72.4259,411.074,4169.77,51.9295,397.815,3957.69,36.1845,130.608,4066.7,762.461,174.432,4102.03,498.989,169.176,4158.55,369.738,192.939,4132.92,74.2669,249.72,4173.96,50.0938,219.721,3960.66,40.3477
5,0,455.097,3968.12,970.654,209.581,3975.23,966.836,372.251,4190.83,996.716,,,,,,,476.366,4075.16,499.868,491.367,4165.01,295.478,459.854,4127.06,72.4233,411.073,4169.78,51.9305,397.817,3957.69,36.1899,130.622,4066.71,762.469,174.348,4102.15,499.039,169.167,4158.54,369.753,192.738,4132.84,74.2431,249.72,4173.95,50.0849,219.722,3960.66,40.3516
6,0,455.11,3968.12,970.652,209.582,3975.26,966.836,372.258,4190.84,996.713,,,,,,,476.297,4075.16,499.859,491.224,4164.95,295.429,459.888,4127.11,72.4299,411.077,4169.78,51.9291,397.813,3957.69,36.2,130.794,4066.63,762.472,174.354,4102.14,499.034,169.169,4158.54,369.747,192.762,4132.87,74.2866,249.731,4173.94,50.0974,219.724,3960.65,40.3472
7,0,455.111,3968.15,970.638,209.58,3975.26,966.852,372.267,4190.86,996.717,,,,,,,476.506,4075.29,499.931,491.358,4165.02,295.46,459.872,4127.14,72.4339,411.078,4169.78,51.9237,397.818,3957.69,36.1918,130.788,4066.65,762.47,174.345,4102.13,499.054,169.178,4158.52,369.736,192.755,4132.86,74.2594,249.716,4173.94,50.0908,219.72,3960.64,40.3486
8,0,455.115,3968.16,970.634,209.588,3975.27,966.846,372.277,4190.87,996.715,,,,,,,476.133,4075.28,499.92,490.979,4164.91,295.375,459.86,4127.1,72.4083,411.081,4169.77,51.911,397.814,3957.69,36.1978,130.786,4066.65,762.472,174.361,4102.13,499.048,169.191,4158.51,369.737,192.774,4132.84,74.2539,249.73,4173.93,50.093,219.724,3960.65,40.3435
9,0,455.111,3968.17,970.649,209.612,3975.27,966.869,372.283,4190.88,996.717,,,,,,,476.513,4075.51,500.072,491.354,4165.05,295.451,459.885,4127.14,72.4257,411.089,4169.77,51.9072,397.808,3957.68,36.1953,130.783,4066.66,762.476,174.391,4102.09,499.046,169.189,4158.51,369.742,192.751,4132.86,74.2644,249.72,4173.92,50.088,219.717,3960.65,40.3445
10,0,455.102,3968.2,970.656,209.612,3975.3,966.873,372.29,4190.89,996.721,,,,,,,476.282,4075.24,499.885,491.114,4164.81,295.359,459.897,4127.15,72.4267,411.096,4169.76,51.9056,397.814,3957.7,36.1953,130.792,4066.68,762.481,174.383,4102.1,499.053,169.169,4158.51,369.745,192.787,4132.86,74.2748,249.741,4173.94,50.108,219.724,3960.65,40.3524
11,0,455.097,3968.22,970.652,209.595,3975.3,966.876,372.296,4190.91,996.719,,,,,,,476.509,4075.4,499.965,491.332,4164.98,295.533,459.858,4127.13,72.4212,411.088,4169.77,51.9061,397.829,3957.69,36.1924,130.791,4066.68,762.489,174.274,4102.22,499.143,169.185,4158.5,369.74,192.774,4132.86,74.2843,249.749,4173.92,50.1068,219.722,3960.65,40.3568
12,0,455.128,3968.21,970.654,209.632,3975.32,966.88,372.306,4190.91,996.722,,,,,,,476.462,4075.37,499.926,491.352,4165.03,295.473,459.834,4127.12,72.417,411.097,4169.76,51.9009,397.829,3957.69,36.1973,130.805,4066.68,762.478,174.389,4102.1,499.064,169.18,4158.5,369.748,192.783,4132.86,74.2611,249.72,4173.91,50.0934,219.721,3960.64,40.3544
13,0,455.124,3968.22,970.648,209.619,3975.33,966.882,372.304,4190.92,996.728,,,,,,,476.396,4075.35,499.904,491.355,4165.08,295.432,459.839,4127.13,72.403,411.102,4169.76,51.8987,397.824,3957.69,36.2007,130.693,4066.74,762.484,174.393,4102.09,499.065,169.2,4158.48,369.726,192.812,4132.87,74.2829,249.753,4173.93,50.1192,219.725,3960.64,40.3535
14,0,455.115,3968.25,970.644,209.626,3975.34,966.891,372.309,4190.93,996.736,,,,,,,476.582,4075.45,499.954,491.338,4165,295.515,459.857,4127.15,72.4277,411.111,4169.75,51.8843,397.832,3957.69,36.2094,130.799,4066.69,762.487,174.398,4102.11,499.075,169.184,4158.5,369.746,192.767,4132.85,74.2794,249.759,4173.92,50.1179,219.718,3960.64,40.3602
15,0,455.129,3968.26,970.638,209.66,3975.34,966.88,372.31,4190.95,996.733,,,,,,,476.408,4075.37,499.906,491.347,4165.01,295.512,459.863,4127.15,72.4045,411.109,4169.75,51.8852,397.814,3957.68,36.2148,130.8,4066.7,762.489,174.411,4102.08,499.064,169.19,4158.51,369.74,192.799,4132.87,74.2907,249.82,4173.92,50.1375,219.727,3960.64,40.3631
16,0,455.136,3968.26,970.643,209.645,3975.35,966.889,372.323,4190.95,996.735,,,,,,,476.355,4075.34,499.895,491.35,4165.01,295.505,459.875,4127.15,72.4146,411.111,4169.76,51.8913,397.834,3957.69,36.2074,130.804,4066.69,762.484,174.415,4102.09,499.071,169.194,4158.5,369.743,192.773,4132.87,74.2802,249.769,4173.92,50.1136,219.721,3960.64,40.3592
17,0,455.147,3968.28,970.636,209.659,3975.36,966.879,372.318,4190.97,996.737,,,,,,,476.57,4075.48,499.975,491.556,4165.18,295.552,459.885,4127.17,72.4356,411.119,4169.76,51.8931,397.833,3957.69,36.2062,130.812,4066.7,762.49,174.424,4102.09,499.063,169.205,4158.5,369.736,192.735,4132.84,74.292,249.727,4173.91,50.1064,219.727,3960.64,40.358
18,0,455.149,3968.29,970.635,209.668,3975.36,966.897,372.319,4190.97,996.737,,,,,,,476.407,4075.36,499.867,491.384,4165.09,295.411,459.872,4127.15,72.41,411.114,4169.77,51.894,397.847,3957.69,36.2039,130.818,4066.7,762.482,174.414,4102.1,499.062,169.228,4158.48,369.723,192.786,4132.85,74.256,249.747,4173.91,50.1075,219.741,3960.64,40.3537
19,0,455.214,3968.27,970.645,209.709,3975.37,966.88,372.327,4190.99,996.734,,,,,,,476.311,4075.45,499.927,491.385,4165.27,295.46,459.822,4127.08,72.2972,411.114,4169.76,51.8826,397.843,3957.69,36.2137,130.736,4066.74,762.481,174.416,4102.09,499.068,169.23,4158.48,369.712,192.794,4132.86,74.2742,249.729,4173.9,50.09,219.723,3960.64,40.3568
20,0,455.125,3968.31,970.653,209.718,3975.37,966.897,372.33,4190.99,996.735,,,,,,,476.436,4075.39,499.884,491.608,4165.3,295.405,459.866,4127.13,72.3758,411.116,4169.77,51.8776,397.833,3957.69,36.2116,130.824,4066.71,762.484,174.429,4102.1,499.062,169.223,4158.49,369.725,192.728,4132.83,74.2828,249.729,4173.9,50.0958,219.723,3960.64,40.3565
21,0,455.208,3968.31,970.629,209.731,3975.36,966.898,372.337,4191,996.731,,,,,,,476.368,4075.37,499.881,491.637,4165.35,295.392,459.897,4127.16,72.3848,411.126,4169.77,51.8867,397.834,3957.69,36.2119,130.828,4066.72,762.485,174.439,4102.09,499.052,169.215,4158.5,369.733,192.72,4132.85,74.2887,249.781,4173.91,50.1196,219.734,3960.64,40.3613
22,0,455.263,3968.29,970.633,209.744,3975.37,966.895,372.338,4191.01,996.735,,,,,,,475.89,4074.82,500.039,491.257,4164.89,295.538,459.869,4127.12,72.3513,411.127,4169.77,51.8753,397.845,3957.7,36.2117,130.829,4066.72,762.487,174.458,4102.08,499.044,169.225,4158.5,369.731,192.73,4132.83,74.2822,249.754,4173.92,50.1053,219.727,3960.65,40.3569
23,0,455.218,3968.33,970.652,209.739,3975.38,966.892,372.346,4191.02,996.729,,,,,,,476.433,4075.4,499.895,491.898,4165.56,295.384,459.881,4127.13,72.3651,411.13,4169.77,51.8914,397.833,3957.71,36.2144,130.842,4066.72,762.488,174.444,4102.1,499.059,169.224,4158.5,369.738,192.725,4132.86,74.3043,249.725,4173.91,50.1,219.724,3960.64,40.3532
24,0,455.225,3968.33,970.65,209.779,3975.37,966.895,372.359,4191.03,996.728,,,,,,,475.856,4074.8,500.007,491.418,4165.04,295.484,459.885,4127.13,72.3536,411.126,4169.76,51.88,397.842,3957.71,36.2192,130.751,4066.77,762.491,174.443,4102.12,499.066,169.224,4158.51,369.74,192.72,4132.84,74.283,249.713,4173.91,50.0983,219.731,3960.65,40.3554
25,0,455.25,3968.33,970.647,209.799,3975.39,966.897,372.364,4191.03,996.725,,,,,,,476.323,4075.34,499.872,491.723,4165.45,295.336,459.9,4127.15,72.3663,411.122,4169.77,51.8809,397.837,3957.71,36.2165,130.852,4066.73,762.491,174.449,4102.12,499.065,169.206,4158.53,369.745,192.791,4132.84,74.2668,249.754,4173.93,50.1094,219.726,3960.64,40.3579
26,0,455.312,3968.32,970.651,209.771,3975.41,966.919,372.37,4191.05,996.716,,,,,,,476.643,4075.5,499.946,491.881,4165.48,295.397,459.909,4127.16,72.3689,411.117,4169.77,51.8698,397.839,3957.71,36.22,130.861,4066.72,762.49,174.453,4102.13,499.061,169.234,4158.51,369.717,192.795,4132.86,74.2833,249.792,4173.91,50.1164,219.723,3960.64,40.3551
27,0,455.285,3968.33,970.649,209.805,3975.4,966.905,372.391,4191.06,996.717,,,,,,,476.389,4075.35,499.861,491.464,4165.2,295.299,459.873,4127.12,72.3601,411.121,4169.77,51.8687,397.832,3957.71,36.2121,130.856,4066.73,762.489,174.461,4102.14,499.066,169.159,4158.6,369.788,192.704,4132.87,74.2986,249.778,4173.91,50.1152,219.719,3960.64,40.3553
28,0,455.324,3968.35,970.644,209.801,3975.41,966.907,372.398,4191.06,996.714,,,,,,,476.597,4075.46,499.941,491.51,4165.18,295.365,459.827,4127.06,72.2604,411.125,4169.77,51.872,397.841,3957.72,36.2086,130.868,4066.74,762.485,174.457,4102.15,499.063,169.19,4158.57,369.756,192.708,4132.83,74.2779,249.717,4173.91,50.0936,219.723,3960.64,40.352
29,0,455.364,3968.32,970.628,209.817,3975.4,966.903,372.41,4191.06,996.713,,,,,,,476.717,4075.52,499.963,491.468,4165.11,295.375,459.908,4127.16,72.3945,411.12,4169.77,51.8691,397.832,3957.72,36.2155,130.872,4066.75,762.487,174.467,4102.17,499.063,169.215,4158.57,369.75,192.716,4132.85,74.2959,249.751,4173.92,50.1034,219.712,3960.65,40.359
30,0,455.363,3968.34,970.639,209.783,3975.42,966.914,372.424,4191.07,996.71,,,,,,,476.411,4075.35,499.857,491.477,4165.11,295.383,459.894,4127.14,72.3647,411.12,4169.77,51.8631,397.832,3957.72,36.2154,130.79,4066.79,762.483,174.488,4102.16,499.058,169.23,4158.58,369.745,192.704,4132.82,74.273,249.719,4173.91,50.0987,219.711,3960.64,40.3562
31,0,455.353,3968.33,970.636,209.816,3975.43,966.924,372.436,4191.07,996.703,,,,,,,476.278,4075.26,499.806,491.489,4165.11,295.373,459.887,4127.12,72.3397,411.12,4169.77,51.8651,397.821,3957.72,36.2188,130.89,4066.76,762.483,174.486,4102.18,499.062,169.222,4158.6,369.75,192.793,4132.86,74.2819,249.737,4173.91,50.0981,219.709,3960.64,40.3578
32,0,455.367,3968.32,970.632,209.841,3975.45,966.919,372.452,4191.08,996.705,,,,,,,476.71,4075.51,499.941,491.79,4165.29,295.465,459.893,4127.15,72.3709,411.128,4169.77,51.8619,397.829,3957.73,36.2222,130.897,4066.78,762.496,174.494,4102.19,499.069,169.225,4158.61,369.751,192.698,4132.84,74.2769,249.72,4173.9,50.0881,219.713,3960.65,40.3548
33,0,455.361,3968.34,970.626,209.828,3975.45,966.91,372.465,4191.09,996.701,,,,,,,476.542,4075.41,499.895,491.492,4165.12,295.376,459.798,4127.05,72.2533,411.119,4169.77,51.8633,397.832,3957.73,36.2212,130.9,4066.79,762.491,174.489,4102.22,499.069,169.232,4158.62,369.747,192.799,4132.87,74.2816,249.73,4173.92,50.1035,219.715,3960.65,40.3596
34,0,455.412,3968.33,970.629,209.858,3975.48,966.931,372.479,4191.1,996.705,,,,,,,476.764,4075.53,499.945,491.032,4164.97,295.938,459.913,4127.14,72.3402,411.117,4169.78,51.8606,397.834,3957.73,36.2173,130.905,4066.8,762.497,174.546,4102.18,499.039,169.266,4158.61,369.743,192.794,4132.87,74.291,249.735,4173.91,50.0998,219.704,3960.65,40.3553
35,0,455.393,3968.33,970.644,209.861,3975.49,966.943,372.497,4191.11,996.706,,,,,,,476.615,4075.45,499.892,491.164,4164.97,295.757,459.904,4127.15,72.3635,411.117,4169.78,51.8517,397.824,3957.73,36.2332,130.924,4066.81,762.503,174.594,4102.09,499.033,169.273,4158.62,369.742,192.8,4132.87,74.2832,249.725,4173.91,50.0911,219.702,3960.64,40.3507
36,0,455.382,3968.36,970.645,209.885,3975.5,966.94,372.511,4191.12,996.705,,,,,,,476.758,4075.54,499.935,491.588,4165.15,295.671,459.905,4127.15,72.3479,411.119,4169.78,51.8582,397.826,3957.73,36.2142,130.924,4066.85,762.51,174.514,4102.23,499.077,169.274,4158.63,369.738,192.704,4132.84,74.2782,249.73,4173.9,50.093,219.704,3960.65,40.3598
37,0,455.39,3968.36,970.633,209.867,3975.53,966.95,372.528,4191.13,996.704,,,,,,,476.382,4075.35,499.85,491.493,4165.05,295.458,459.833,4127.06,72.249,411.109,4169.77,51.8576,397.837,3957.74,36.2175,130.943,4066.85,762.508,174.527,4102.24,499.076,169.247,4158.66,369.76,192.726,4132.85,74.2896,249.73,4173.92,50.0989,219.702,3960.64,40.3552
38,0,455.37,3968.36,970.641,209.897,3975.55,966.951,372.538,4191.14,996.703,,,,,,,476.632,4075.5,499.939,491.58,4165.16,295.458,459.894,4127.15,72.3633,411.111,4169.78,51.8459,397.833,3957.74,36.2191,130.949,4066.87,762.506,174.517,4102.26,499.09,169.263,4158.65,369.75,192.716,4132.85,74.3049,249.731,4173.91,50.0931,219.703,3960.64,40.3576
39,0,455.436,3968.36,970.649,209.904,3975.57,966.956,372.565,4191.14,996.703,,,,,,,476.739,4075.52,499.93,491.524,4165.13,295.359,459.893,4127.14,72.3638,411.114,4169.77,51.8437,397.824,3957.73,36.2262,130.959,4066.9,762.513,174.533,4102.25,499.083,169.282,4158.64,369.75,192.715,4132.83,74.2714,249.755,4173.92,50.1145,219.709,3960.64,40.3563
40,0,455.413,3968.37,970.637,209.904,3975.6,966.972,372.576,4191.15,996.702,,,,,,,476.755,4075.54,499.928,491.563,4165.15,295.361,459.898,4127.14,72.3495,411.106,4169.77,51.8465,397.832,3957.73,36.224,130.973,4066.92,762.504,174.549,4102.31,499.04,169.255,4158.68,369.792,192.707,4132.83,74.2736,249.73,4173.91,50.1057,219.707,3960.64,40.3534
41,0,455.434,3968.36,970.654,209.912,3975.61,966.971,372.59,4191.17,996.698,,,,,,,476.718,4075.51,499.913,491.548,4165.13,295.349,459.817,4127.06,72.2639,411.11,4169.77,51.8476,397.836,3957.73,36.226,130.984,4066.94,762.516,174.549,4102.27,499.081,169.305,4158.64,369.757,192.718,4132.85,74.296,249.759,4173.91,50.1142,219.694,3960.64,40.362
42,0,455.443,3968.37,970.655,209.903,3975.64,966.976,372.608,4191.17,996.696,,,,,,,476.687,4075.5,499.908,491.539,4165.13,295.347,459.903,4127.13,72.3449,411.11,4169.77,51.8429,397.848,3957.74,36.2278,130.995,4066.96,762.517,174.553,4102.28,499.083,169.298,4158.66,369.76,192.794,4132.87,74.2991,249.774,4173.92,50.1172,219.693,3960.64,40.3655
43,0,455.431,3968.39,970.663,209.933,3975.65,966.97,372.625,4191.17,996.702,,,,,,,476.252,4074.94,499.981,491.548,4165.13,295.346,459.831,4127.07,72.2398,411.106,4169.78,51.8493,397.844,3957.73,36.2232,130.994,4067,762.517,174.558,4102.28,499.075,169.345,4158.64,369.739,192.789,4132.87,74.2967,249.743,4173.91,50.1065,219.697,3960.64,40.3663
44,0,455.459,3968.37,970.648,209.952,3975.67,966.979,372.638,4191.17,996.698,,,,,,,476.12,4074.89,500.005,491.54,4165.06,295.433,459.916,4127.15,72.3552,411.104,4169.78,51.8484,397.845,3957.74,36.227,131.017,4067.02,762.524,174.558,4102.29,499.076,169.345,4158.65,369.75,192.728,4132.84,74.2971,249.744,4173.9,50.0968,219.693,3960.64,40.3552
45,0,455.461,3968.35,970.645,209.965,3975.7,966.987,372.656,4191.18,996.695,,,,,,,476.7,4075.52,499.896,491.556,4165.07,295.436,459.904,4127.16,72.3503,411.11,4169.77,51.8358,397.861,3957.73,36.2414,131.021,4067.05,762.525,174.578,4102.29,499.075,169.351,4158.66,369.754,192.736,4132.81,74.2664,249.777,4173.91,50.1161,219.685,3960.64,40.3622
46,0,455.513,3968.33,970.638,209.946,3975.71,966.985,372.671,4191.19,996.699,,,,,,,476.752,4075.55,499.905,491.586,4165.16,295.343,459.83,4127.07,72.2359,411.096,4169.78,51.8466,397.875,3957.73,36.2249,131.031,4067.08,762.529,174.581,4102.31,499.075,169.36,4158.67,369.752,192.732,4132.82,74.2812,249.745,4173.9,50.1024,219.686,3960.63,40.3553
47,0,455.505,3968.33,970.628,209.959,3975.72,966.98,372.688,4191.19,996.7,,,,,,,476.814,4075.59,499.918,491.625,4165.15,295.399,459.903,4127.16,72.3275,411.088,4169.77,51.8399,397.91,3957.73,36.232,131.03,4067.11,762.535,174.573,4102.35,499.084,169.379,4158.67,369.745,192.742,4132.84,74.3063,249.77,4173.89,50.0957,219.683,3960.63,40.3543
48,0,455.511,3968.32,970.609,209.957,3975.75,966.988,372.708,4191.19,996.702,,,,,,,476.798,4075.59,499.902,491.585,4165.09,295.426,459.916,4127.18,72.347,411.086,4169.78,51.8293,397.886,3957.67,36.2827,131.039,4067.13,762.539,174.59,4102.35,499.087,169.389,4158.69,369.75,192.737,4132.84,74.3022,249.74,4173.9,50.0994,219.668,3960.64,40.3622
49,0,455.558,3968.3,970.601,209.977,3975.75,966.987,372.728,4191.2,996.707,,,,,,,476.816,4075.61,499.898,491.585,4165.11,295.423,459.886,4127.18,72.3536,411.085,4169.78,51.8354,397.897,3957.68,36.276,131.051,4067.17,762.542,174.605,4102.36,499.085,169.388,4158.71,369.755,192.738,4132.82,74.2888,249.852,4173.92,50.1498,219.678,3960.64,40.3683
50,0,455.503,3968.32,970.601,209.979,3975.78,966.987,372.745,4191.19,996.711,,,,,,,476.807,4075.63,499.894,491.599,4165.22,295.338,459.915,4127.19,72.3406,411.08,4169.77,51.8295,397.913,3957.7,36.2543,131.05,4067.19,762.539,174.621,4102.39,499.092,169.38,4158.74,369.763,192.761,4132.83,74.2848,249.788,4173.9,50.1132,219.677,3960.64,40.3565
51,0,455.529,3968.3,970.595,209.908,3975.82,967.027,372.763,4191.19,996.712,,,,,,,476.795,4075.77,499.994,491.569,4165.15,295.42,459.881,4127.16,72.3232,411.084,4169.77,51.8311,397.926,3957.72,36.2355,131.062,4067.22,762.54,174.626,4102.4,499.084,169.4,4158.74,369.756,192.826,4132.86,74.3002,249.829,4173.9,50.1268,219.659,3960.64,40.3657
52,0,455.546,3968.28,970.589,209.946,3975.81,966.981,372.786,4191.19,996.724,,,,,,,476.744,4075.66,499.901,491.498,4165.1,295.385,459.89,4127.15,72.3215,411.082,4169.78,51.8301,397.947,3957.72,36.2453,130.951,4067.3,762.544,174.637,4102.42,499.088,169.411,4158.75,369.74,192.753,4132.83,74.3028,249.76,4173.89,50.1058,219.668,3960.63,40.3621
53,0,455.436,3968.34,970.632,209.94,3975.83,966.989,372.809,4191.19,996.727,,,,,,,476.851,4075.7,499.878,491.583,4165.19,295.42,459.9,4127.18,72.3432,411.071,4169.78,51.8251,397.937,3957.69,36.2626,131.056,4067.29,762.547,174.622,4102.43,499.087,169.408,4158.76,369.75,192.811,4132.84,74.2761,249.789,4173.9,50.1168,219.66,3960.64,40.3682
54,0,455.517,3968.27,970.609,209.883,3975.86,967.015,372.824,4191.18,996.737,,,,,,,476.82,4075.72,499.869,490.56,4164.31,294.831,459.88,4127.15,72.3344,411.083,4169.77,51.8223,397.935,3957.68,36.2784,131.047,4067.32,762.552,174.619,4102.46,499.089,169.371,4158.76,369.714,192.741,4132.84,74.3084,249.83,4173.9,50.1318,219.672,3960.64,40.3668
55,0,455.447,3968.26,970.601,209.931,3975.85,966.984,372.847,4191.17,996.743,,,,,,,476.669,4075.78,499.95,490.987,4164.88,295.15,459.895,4127.22,72.3593,411.069,4169.77,51.8226,397.943,3957.69,36.2798,131.058,4067.34,762.546,174.645,4102.47,499.083,169.36,4158.78,369.722,192.731,4132.85,74.3164,249.767,4173.89,50.1007,219.655,3960.64,40.3644
56,0,455.504,3968.24,970.579,209.972,3975.85,966.967,372.867,4191.16,996.754,,,,,,,476.715,4075.7,499.874,491.612,4165.3,295.311,459.883,4127.23,72.3697,411.055,4169.78,51.8214,397.959,3957.72,36.2577,131.068,4067.37,762.547,174.633,4102.5,499.08,169.34,4158.85,369.79,192.747,4132.84,74.3005,249.754,4173.9,50.0989,219.655,3960.64,40.3704
