Trajectories
200
,,F5:LASI,,,F5:RASI,,,F5:LPSI,,,F5:RPSI,,,F5:LTHI,,,F5:LKNE,,,F5:LTIB,,,F5:LANK,,,F5:LHEE,,,F5:LTOE,,,F5:RTHI,,,F5:RKNE,,,F5:RTIB,,,F5:RANK,,,F5:RHEE,,,F5:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-492.811,3719.84,914.169,-723.034,3738.77,923.922,-550.483,3930.52,962.191,-628.57,3936.01,966.746,-426.688,3752.18,729.657,-437.06,3833.59,489.402,-465.057,3810.25,368.07,-461.502,3883.72,94.0466,-502.646,3938.27,63.1129,-543.535,3729.03,62.6293,-798.171,3859.94,814.475,-766.057,3842.47,491.647,-774.058,3906.7,402.326,-748.057,3857.09,94.0713,-705.91,3913.55,75.9943,-686.473,3697.02,63.1889
2,0,-492.838,3719.86,914.188,-723.12,3738.88,923.939,-550.496,3930.55,962.196,-628.593,3936.06,966.744,-426.706,3752.2,729.656,-437.092,3833.59,489.4,-465.079,3810.27,368.065,-461.496,3883.74,94.0421,-502.635,3938.25,63.069,-543.522,3729.03,62.6444,-798.192,3860,814.473,-766.028,3842.47,491.638,-774.079,3906.78,402.357,-747.952,3857.23,93.9338,-705.892,3913.95,76.2238,-686.486,3697.03,63.1884
3,0,-492.872,3719.92,914.195,-723.209,3738.97,923.943,-550.509,3930.61,962.2,-628.61,3936.11,966.733,-426.753,3752.22,729.674,-437.104,3833.6,489.412,-465.079,3810.27,368.063,-461.491,3883.72,94.0365,-502.648,3938.24,63.0823,-543.526,3729.03,62.6403,-798.208,3860.06,814.465,-766.141,3842.57,491.637,-774.062,3906.77,402.337,-748.211,3856.97,94.1672,-705.891,3913.96,76.2289,-686.487,3697.03,63.1924
4,0,-492.897,3719.95,914.204,-723.198,3738.99,923.955,-550.529,3930.65,962.179,-628.629,3936.2,966.742,-426.75,3752.26,729.702,-437.125,3833.63,489.426,-465.111,3810.28,368.07,-461.496,3883.72,94.048,-502.643,3938.26,63.087,-543.525,3729.03,62.6431,-798.224,3860.12,814.462,-766.086,3842.55,491.644,-774.065,3906.79,402.338,-748.254,3856.93,94.1902,-705.889,3913.93,76.2136,-686.491,3697.04,63.2001
5,0,-492.925,3720.01,914.213,-723.364,3739.15,923.97,-550.543,3930.74,962.192,-628.636,3936.25,966.734,-426.781,3752.31,729.716,-437.148,3833.61,489.416,-465.118,3810.29,368.075,-461.501,3883.74,94.0553,-502.641,3938.25,63.0743,-543.523,3729.01,62.6309,-798.231,3860.18,814.46,-766.108,3842.58,491.663,-774.062,3906.78,402.306,-748.098,3857.1,94.0486,-705.904,3913.97,76.2202,-686.483,3697.04,63.1949
6,0,-492.964,3720.04,914.203,-723.213,3739.1,923.957,-550.566,3930.78,962.183,-628.654,3936.32,966.718,-426.841,3752.34,729.72,-437.154,3833.61,489.416,-465.149,3810.28,368.07,-461.505,3883.74,94.0574,-502.648,3938.26,63.0877,-543.515,3729.02,62.6427,-798.259,3860.24,814.459,-766.061,3842.57,491.671,-774.051,3906.77,402.274,-748.149,3857.06,94.1142,-705.919,3913.61,75.996,-686.496,3697.06,63.1967
7,0,-492.986,3720.08,914.218,-723.386,3739.25,923.998,-550.58,3930.84,962.189,-628.674,3936.4,966.699,-426.912,3752.38,729.72,-437.18,3833.63,489.425,-465.166,3810.3,368.081,-461.504,3883.74,94.0534,-502.654,3938.24,63.08,-543.509,3729.03,62.6386,-798.276,3860.3,814.461,-766.196,3842.67,491.663,-774.045,3906.77,402.266,-748.031,3857.16,94.0126,-705.921,3913.64,76.018,-686.496,3697.05,63.1945
8,0,-492.997,3720.11,914.229,-723.355,3739.25,923.988,-550.602,3930.85,962.174,-628.687,3936.45,966.677,-426.948,3752.44,729.734,-437.196,3833.63,489.426,-465.169,3810.29,368.093,-461.495,3883.74,94.0576,-502.642,3938.25,63.0673,-543.524,3729.04,62.651,-798.294,3860.36,814.465,-766.131,3842.62,491.656,-774.064,3906.8,402.27,-748.096,3857.09,94.0856,-705.793,3913.83,76.0944,-686.499,3697.06,63.201
9,0,-493.024,3720.14,914.246,-723.398,3739.34,923.992,-550.622,3930.88,962.18,-628.703,3936.51,966.68,-427.011,3752.47,729.725,-437.213,3833.64,489.446,-465.171,3810.3,368.102,-461.476,3883.72,94.0542,-502.633,3938.26,63.0763,-543.53,3729.02,62.6799,-798.31,3860.41,814.466,-766.203,3842.7,491.679,-774.097,3906.84,402.277,-748.064,3857.2,94.0235,-705.922,3913.69,76.0148,-686.505,3697.07,63.1961
10,0,-493.099,3720.18,914.248,-723.467,3739.42,924.003,-550.639,3930.96,962.181,-628.711,3936.57,966.688,-427.038,3752.5,729.774,-437.236,3833.64,489.439,-465.195,3810.29,368.116,-461.486,3883.72,94.0612,-502.624,3938.26,63.0893,-543.525,3729.03,62.6483,-798.332,3860.47,814.465,-766.22,3842.72,491.682,-774.057,3906.78,402.227,-748.214,3857.02,94.1593,-705.922,3913.96,76.1992,-686.519,3697.08,63.2124
