Trajectories
200
,,M5:LASI,,,M5:RASI,,,M5:LPSI,,,M5:RPSI,,,M5:LTHI,,,M5:LKNE,,,M5:LTIB,,,M5:LANK,,,M5:LHEE,,,M5:LTOE,,,M5:RTHI,,,M5:RKNE,,,M5:RTIB,,,M5:RANK,,,M5:RHEE,,,M5:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,513.555,3874.78,1069.71,262.657,3883.81,1068.21,437.261,4069.78,1118.57,351.395,4072.28,1122.01,558.531,3870.73,770.342,559.211,3955.69,555.566,545.35,3935.12,401.936,518.022,4022,77.9817,476.29,4083.96,54.8991,470.522,3835.85,42.2843,213.339,3896.89,757.295,222.857,3968.96,552.171,252.822,3939.65,359.015,257.928,4021.53,79.9747,299.68,4084.08,60.5027,312.087,3838.28,47.2359
2,0,513.528,3874.78,1069.7,262.644,3883.8,1068.22,437.265,4069.77,1118.55,351.401,4072.28,1122,558.515,3870.72,770.32,559.21,3955.67,555.566,545.343,3935.09,401.932,518.023,4022,77.9867,476.296,4083.95,54.8947,470.458,3835.86,42.2667,213.351,3896.9,757.305,222.845,3968.92,552.186,252.739,3939.67,359.065,257.95,4021.48,79.9868,299.474,4084.02,60.3985,312.071,3838.29,47.24
3,0,513.538,3874.76,1069.71,262.623,3883.79,1068.21,437.261,4069.76,1118.56,351.395,4072.28,1121.99,558.502,3870.73,770.345,559.219,3955.67,555.574,545.334,3935.09,401.93,517.99,4021.98,77.9614,476.288,4083.97,54.8913,470.472,3835.83,42.2432,213.343,3896.9,757.287,222.863,3968.9,552.176,252.752,3939.65,359.051,257.968,4021.51,79.9906,299.533,4084.04,60.4339,312.086,3838.28,47.2479
4,0,513.519,3874.76,1069.71,262.639,3883.79,1068.23,437.266,4069.75,1118.57,351.409,4072.26,1121.99,558.496,3870.73,770.35,559.194,3955.65,555.548,545.336,3935.09,401.926,518.034,4021.98,78.0007,476.266,4083.98,54.8889,470.497,3835.84,42.2561,213.353,3896.89,757.291,222.863,3968.92,552.176,252.732,3939.66,359.063,257.978,4021.46,79.9992,299.662,4084.1,60.5175,312.07,3838.28,47.2127
5,0,513.516,3874.75,1069.73,262.641,3883.8,1068.21,437.261,4069.74,1118.56,351.395,4072.28,1122,558.476,3870.7,770.316,559.186,3955.65,555.57,545.327,3935.08,401.936,518.02,4021.98,77.9704,476.284,4083.98,54.8875,470.553,3835.87,42.3331,213.329,3896.9,757.295,222.851,3968.9,552.181,252.759,3939.63,359.07,257.969,4021.47,80.0061,299.565,4083.99,60.4345,312.064,3838.25,47.2381
6,0,513.491,3874.75,1069.72,262.624,3883.8,1068.21,437.261,4069.74,1118.57,351.403,4072.27,1122,558.479,3870.71,770.358,559.183,3955.65,555.584,545.317,3935.08,401.934,518.014,4022,77.9762,476.289,4083.96,54.8909,470.549,3835.87,42.3387,213.307,3896.9,757.311,222.815,3968.91,552.192,252.788,3939.62,359.082,257.993,4021.45,80.0036,299.708,4084.03,60.5233,312.09,3838.26,47.2568
7,0,513.51,3874.71,1069.67,262.596,3883.81,1068.23,437.253,4069.74,1118.57,351.379,4072.29,1122,558.456,3870.7,770.334,559.182,3955.65,555.591,545.315,3935.06,401.948,518.037,4022.01,78.0161,476.292,4083.95,54.8781,470.483,3835.84,42.2797,213.307,3896.9,757.312,222.823,3968.89,552.2,252.764,3939.61,359.076,257.941,4021.5,80.0066,299.479,4083.93,60.3917,312.042,3838.27,47.2153
8,0,513.464,3874.74,1069.72,262.598,3883.82,1068.22,437.241,4069.73,1118.58,351.382,4072.27,1121.99,558.471,3870.71,770.379,559.179,3955.64,555.589,545.311,3935.07,401.947,518.012,4022.01,78.0152,476.291,4083.96,54.9067,470.486,3835.86,42.274,213.297,3896.91,757.323,222.81,3968.91,552.212,252.734,3939.62,359.067,257.946,4021.51,80.0031,299.645,4084.02,60.4939,312.048,3838.27,47.2192
9,0,513.431,3874.73,1069.73,262.576,3883.82,1068.23,437.233,4069.73,1118.58,351.372,4072.28,1122,558.449,3870.72,770.367,559.164,3955.63,555.595,545.292,3935.07,401.932,518.009,4022.02,78.0266,476.303,4083.96,54.892,470.485,3835.85,42.2501,213.257,3896.87,757.338,222.782,3968.92,552.223,252.768,3939.59,359.072,257.985,4021.44,79.9994,299.554,4084.02,60.4393,312.069,3838.24,47.2289
