Trajectories
200
,,M6:LASI,,,M6:RASI,,,M6:LPSI,,,M6:RPSI,,,M6:LTHI,,,M6:LKNE,,,M6:LTIB,,,M6:LANK,,,M6:LHEE,,,M6:LTOE,,,M6:RTHI,,,M6:RKNE,,,M6:RTIB,,,M6:RANK,,,M6:RHEE,,,M6:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-430.718,3614.33,1131.84,-690.861,3603.08,1119.32,-524.451,3820.56,1199.4,-607.224,3815.77,1200.02,-376.743,3747.06,808.212,-405.153,3741.44,575.786,-381.986,3772.27,418.941,-404.916,3790.24,98.3919,-450.479,3856.27,80.0665,,,,-769.486,3750.49,865.151,-736.741,3745.22,587.178,-756.413,3802.89,417.585,-723.844,3807.57,106.594,-670.351,3863.98,84.3018,-669.353,3620.94,63.7174
2,0,-430.736,3614.34,1131.84,-690.894,3603.06,1119.34,-524.449,3820.59,1199.4,-607.214,3815.78,1200.01,-376.661,3747.08,808.216,-405.15,3741.44,575.779,-381.952,3772.25,418.881,-404.996,3790.24,98.3868,-450.483,3856.27,80.073,,,,-769.464,3750.5,865.15,-736.661,3745.23,587.238,-756.439,3802.88,417.574,-724.006,3807.32,106.38,-670.405,3863.93,84.2876,-669.272,3620.9,63.7667
3,0,-430.64,3614.36,1131.84,-689.975,3606.79,1117.72,-524.439,3820.61,1199.39,-607.205,3815.8,1200,-376.696,3747.1,808.213,-405.143,3741.45,575.78,-382.012,3772.32,418.923,-404.931,3790.25,98.378,-450.473,3856.28,80.0695,,,,-769.439,3750.51,865.149,-736.794,3745.11,587.195,-757.287,3801.22,416.5,-724.022,3807.29,106.362,-670.357,3863.95,84.2895,-668.261,3620.61,64.5257
4,0,-430.614,3614.4,1131.83,-689.956,3606.78,1117.79,-524.44,3820.64,1199.39,-607.203,3815.83,1199.99,-376.7,3747.1,808.221,-405.153,3741.45,575.771,-384.791,3778.11,415.865,-404.957,3790.25,98.3822,-450.48,3856.26,80.0636,,,,-769.421,3750.52,865.146,-736.587,3745.31,587.142,-756.423,3802.84,417.562,-723.852,3807.57,106.59,-671.927,3862.63,85.1141,-668.241,3620.59,64.5138
5,0,-430.696,3614.38,1131.84,-691.103,3603.39,1119.43,-524.422,3820.66,1199.39,-607.186,3815.86,1200,-376.772,3747.11,808.226,-405.133,3741.46,575.775,-384.843,3778.09,415.851,-405.007,3790.25,98.3767,-450.48,3856.27,80.0624,,,,-769.405,3750.54,865.161,-736.664,3745.25,587.126,-757.296,3801.19,416.494,-724.018,3807.32,106.381,-670.35,3863.97,84.2932,-668.266,3620.59,64.4955
6,0,-430.528,3614.47,1131.83,-690.747,3603.17,1119.26,-524.409,3820.69,1199.39,-607.183,3815.88,1199.99,-379.007,3746.89,807.944,-405.132,3741.46,575.778,-382.07,3772.32,418.946,-405.007,3790.23,98.3749,-450.484,3856.28,80.0705,,,,-769.393,3750.56,865.16,-736.677,3745.19,587.168,-757.318,3801.18,416.491,-724.016,3807.32,106.397,-670.352,3863.96,84.2934,-668.252,3620.57,64.5032
7,0,-430.789,3614.4,1131.88,-691.029,3603.56,1119.36,-524.396,3820.73,1199.39,-607.175,3815.92,1199.99,-378.977,3746.9,807.949,-405.134,3741.46,575.775,-382.103,3772.31,418.973,-405.043,3790.24,98.3651,-450.488,3856.28,80.0765,,,,-769.389,3750.58,865.167,-736.579,3745.31,587.102,-757.313,3801.2,416.525,-723.85,3807.58,106.614,-670.318,3863.97,84.3197,-668.237,3620.57,64.4934
8,0,-430.674,3614.46,1131.88,-689.858,3606.87,1117.71,-524.39,3820.75,1199.39,-607.161,3815.95,1199.99,-378.954,3746.91,807.952,-405.125,3741.46,575.767,-382.221,3772.39,419.01,-405.07,3790.24,98.3595,-450.494,3856.27,80.0682,,,,-769.384,3750.59,865.175,-736.666,3745.23,587.22,-756.485,3802.74,417.445,-723.843,3807.58,106.614,-670.25,3864,84.325,-668.252,3620.56,64.4738
9,0,-430.644,3614.47,1131.87,-690.696,3603.25,1119.32,-524.372,3820.77,1199.39,-607.141,3815.97,1199.99,-378.931,3746.92,807.951,-405.116,3741.45,575.763,-382.148,3772.21,418.967,-405.091,3790.24,98.3498,-450.505,3856.27,80.0658,,,,-769.372,3750.6,865.176,-736.673,3745.1,587.207,-756.475,3802.71,417.432,-723.975,3807.35,106.448,-670.131,3864.06,84.3409,-668.23,3620.56,64.4768
